work,workDescription,workLabel,coords,address,aliases,image,DRSImageURL,yearInstalled,yearRemoved,materials,categories,creators,neighborhoods,depicted,commemorated
http://www.wikidata.org/entity/Q107975698,2018 mural by Lisa Jeanne Graf and Bea Graf in Boston,Play and Yay!,Point(-71.088407659 42.314743908),"135 Humboldt Avenue, Boston, MA 02121",,,,2018,,paint,mural,Lisa Jeanne Graf,Roxbury,,
http://www.wikidata.org/entity/Q112583549,2009 mural by Mayor's Mural Crew directed by Heidi Schork and Susan Shian,75 Years in Your Neighborhood,Point(-71.081111 42.278889),"981 Morton St., Boston, MA 02126",,,https://repository.library.northeastern.edu/downloads/neu:4f185g33j?datastream_id=thumbnail_5,2009,,,mural,Susan Shian; Mayor's Mural Crew; Heidi Schork,Mattapan,,
http://www.wikidata.org/entity/Q109742545,2021 mural by Victor “Marka27” Quiñonez in Dorchester,Look to Your Elders,Point(-71.081980734 42.31006924),"430 Blue Hill Avenue, Boston, MA 02121.",,,,2021,,paint,mural,Victor Quiñonez,Dorchester,,
http://www.wikidata.org/entity/Q107689876,1995 ornamental fence by John Tagiuri in Boston,Music Fence,Point(-71.075591377 42.326486078),"383 Dudley St, Boston, MA 02119",,,,1995,,iron,fence,John Tagiuri,Roxbury,,
http://www.wikidata.org/entity/Q107466777,"mural by Ari Hauben, students at McKinley South End Academy, and the Scholars Brigade in Boston",Love is the Question and the Answer,Point(-71.074340633 42.34409046),"90 Warren Avenue, Boston MA 02116",,,,2017 or 2016,,paint,mural,Ari Hauben,South End,Mel King,
http://www.wikidata.org/entity/Q107689869,1995 mural by Mike Womble and Mayor's Mural Crew in Boston,Faces of Dudley,Point(-71.085090313 42.329131305),"2387 Washington St, Boston, MA 02119",,,https://repository.library.northeastern.edu/downloads/neu:4f185438v?datastream_id=thumbnail_5,1995,,acrylic paint,mural,Mike Womble; Mayor's Mural Crew,Roxbury,Melnea Cass; Elma Lewis; Malcolm X,
http://www.wikidata.org/entity/Q107975676,1993 mural by Mayor's Mural Crew and Heidi Schork in Boston,Dudley Street Neighborhood Initiative,Point(-71.073905 42.324133),"438 Dudley Street, Boston, MA 02119",,,https://repository.library.northeastern.edu/downloads/neu:4f185245v?datastream_id=thumbnail_5,1993,,acrylic paint,mural,Mayor's Mural Crew; Heidi Schork,Roxbury,,
http://www.wikidata.org/entity/Q107975667,"2020 mural by Lee Beard, Paul ""Mar"" Chapman, Chris Grant, and Chanel Thervil in Boston",Black Lives Matter,Point(-71.081794442 42.331846822),"Washington Street Boston, MA 02119",,,,2020,,paint,mural,Lee Beard; Paul Chapman; Chanel Thervil,Roxbury,,
http://www.wikidata.org/entity/Q116004541,2016 mural by Heidi Schork in Boston,Ray Bolger as the Scarecrow,Point(-71.062606014 42.291148813),"1726 Dorchester Ave, Dorchester, MA 02124",,,,2016,,,mural,Mayor's Mural Crew; Heidi Schork,Dorchester,,
http://www.wikidata.org/entity/Q110996728,2021 mural by Nneka Jones,Intersectional Environmentalism: Generational Uproot,Point(-71.034222902 42.369348632),"122 Cottage St, Boston, MA 02128",,,,2021,,,mural,Nneka Jones,East Boston,,
